Emp Name,Expense Type,Payment Thru,Amount,Service Fee,Total Amount,Transaction Date,Country,Department
Cynthia Berry,Meals,Cash,696.43,68.66,765.09,2024-01-23,Australia,ENGG
James Cox,Air,Card,943.83,44.6,988.43,2024-08-17,United States,SALS
Jeffery Horne,Air,Cash,943.29,86.75,1030.04,2023-09-24,Canada,FINC
Diane Campbell,Air,Cash,475.6,18.89,494.49,2023-12-28,Australia,FINC
Breanna Smith,Hotel,Card,510.99,25.6,536.59,2024-03-18,United Kingdom,SALS
Janice Moss,Air,Cash,1854.55,97.9,1952.45,2023-04-03,United Kingdom,FINC
Thomas Ferguson,Meals,Cash,1510.5,133.05,1643.55,2023-09-02,Germany,SALS
Kendra Wells,Hotel,Card,846.3,19.35,865.65,2024-02-20,Germany,EXEC
Chloe Bright,Car,Card,1085.84,41.34,1127.18,2023-11-27,Australia,EXEC
Lori Martinez,Air,Card,422.1,25.2,447.3,2024-04-06,Australia,EXEC
Joseph Thomas,Hotel,Cash,669.79,57.6,727.39,2024-12-05,Canada,ENGG
Dawn Palmer,Air,Card,329.89,21.78,351.67,2024-04-10,Canada,SALS
Victor Powell,Meals,Card,1098.55,68.37,1166.92,2023-12-17,United States,FINC
Jessica Crawford,Air,Card,1754.59,86.49,1841.08,2023-09-02,Germany,ADMN
Ashley Rosales,Meals,Cash,645.27,15.53,660.8,2024-08-23,Canada,EXEC
David Mullins,Car,Card,1661.88,55.84,1717.72,2024-07-29,Australia,ENGG
Richard Hudson,Air,Card,1250.33,93.91,1344.24,2024-02-21,Germany,ENGG
Kyle Murphy,Hotel,Cash,1063.43,36.04,1099.47,2024-07-13,Germany,SALS
Mary Lopez,Meals,Card,1197.6,61.58,1259.18,2024-02-15,United States,ENGG
Dawn Gonzalez,Air,Card,1670.73,88.94,1759.67,2024-02-08,Canada,FINC
Crystal Kerr,Air,Cash,1753.93,95.58,1849.51,2023-01-24,Canada,ENGG
Mark Jones,Air,Card,436.54,14.17,450.71,2024-11-14,United States,SALS
Heather Craig,Hotel,Cash,255.37,10.72,266.09,2023-04-24,Australia,SALS
Michael Lane,Air,Card,1074.27,41.12,1115.39,2024-08-19,India,FINC
Mark Johnson,Air,Card,1876.03,47.61,1923.64,2024-02-15,Australia,ENGG
Steven Shea,Car,Card,1361.64,29.47,1391.11,2024-09-17,India,EXEC
Jordan Odonnell,Air,Cash,521.3,38.25,559.55,2024-06-05,Germany,ADMN
Jasmine Jones,Air,Card,1732.96,57.71,1790.67,2024-07-31,Canada,FINC
Taylor Roberts,Hotel,Cash,1109.42,89.69,1199.11,2023-03-22,India,FINC
Lori Mills,Car,Cash,1928.53,72.54,2001.07,2024-11-08,Canada,EXEC
Kimberly Fritz,Meals,Cash,1523.75,152.37,1676.12,2023-10-16,United Kingdom,EXEC
Kelly White,Car,Cash,91.45,2.82,94.27,2023-04-03,Canada,EXEC
John Barnett,Meals,Cash,406.66,21.43,428.09,2024-03-24,United Kingdom,EXEC
Andrea Dixon,Air,Cash,1585.65,84.33,1669.98,2024-12-04,United Kingdom,ENGG
Geoffrey Taylor,Car,Card,1556.8,59.98,1616.78,2024-07-04,United States,ADMN
Jennifer Porter,Hotel,Card,274.35,8.96,283.31,2024-09-17,United Kingdom,EXEC
David Bender,Meals,Cash,321.78,7.51,329.29,2024-09-07,Canada,EXEC
Michael Underwood,Meals,Card,114.09,8.93,123.02,2024-07-06,United Kingdom,SALS
Jose Phelps,Meals,Cash,768.18,21.32,789.5,2023-01-21,India,SALS
William Smith,Hotel,Cash,195.63,4.88,200.51,2024-03-20,United States,ENGG
Andrea Taylor,Car,Cash,462.34,22.0,484.34,2023-12-20,India,SALS
Nicole Lynn,Hotel,Cash,699.2,14.84,714.04,2024-04-30,Australia,SALS
Tonya Davis,Meals,Card,1385.02,67.48,1452.5,2024-12-13,United Kingdom,SALS
Megan Thomas,Meals,Card,1921.82,128.86,2050.68,2024-06-27,United Kingdom,SALS
Angela Becker,Air,Card,108.68,6.74,115.42,2024-10-14,Germany,SALS
Thomas Vega,Meals,Cash,712.17,40.24,752.41,2023-08-11,Australia,EXEC
Matthew Hoover,Air,Cash,386.71,28.64,415.35,2023-10-01,United States,SALS
Kendra Dixon,Air,Card,1314.3,56.52,1370.82,2023-09-21,Australia,FINC
Adam Lawson,Meals,Cash,357.41,8.2,365.61,2023-12-10,United Kingdom,FINC
Julie Curry,Hotel,Card,1382.44,30.41,1412.85,2024-10-18,Australia,EXEC
Evelyn Davenport,Car,Card,327.86,27.82,355.68,2024-08-19,Germany,ADMN
Justin Lopez,Car,Cash,1159.56,78.43,1237.99,2023-09-16,Germany,ENGG
Melissa Doyle,Air,Cash,1246.59,69.03,1315.62,2024-12-29,Germany,ADMN
Debra Butler,Hotel,Card,1715.47,60.44,1775.91,2024-10-10,Canada,EXEC
Benjamin Brown,Hotel,Card,77.71,3.56,81.27,2024-10-23,United Kingdom,SALS
Lori Andrade,Meals,Cash,1951.44,86.16,2037.6,2024-04-22,India,FINC
Thomas Holloway,Car,Card,1804.95,96.95,1901.9,2024-08-21,United States,EXEC
Benjamin Stark,Hotel,Card,199.3,7.07,206.37,2024-10-12,United Kingdom,ADMN
Tammy Buckley,Car,Cash,1492.52,113.43,1605.95,2024-09-05,United States,ENGG
Debra Jenkins,Hotel,Card,595.75,48.29,644.04,2023-06-17,Australia,SALS
David Nelson,Meals,Card,1953.01,78.09,2031.1,2024-08-02,Australia,FINC
Brandy Lane,Meals,Card,1855.64,91.13,1946.77,2024-08-16,Canada,ADMN
Michael Kirby,Meals,Cash,1086.13,57.16,1143.29,2024-10-31,Canada,ENGG
Traci Blair,Meals,Card,1344.27,47.81,1392.08,2024-01-16,India,ADMN
John Finley,Hotel,Cash,1688.71,132.5,1821.21,2024-05-31,Canada,EXEC
Tammy Sanchez,Car,Card,1139.16,78.9,1218.06,2023-10-14,Australia,EXEC
Mrs. Taylor Gilbert,Meals,Card,63.4,1.57,64.97,2023-12-07,United States,SALS
Jeffery Small,Hotel,Card,717.15,25.92,743.07,2024-11-08,United States,ENGG
Nathan White,Hotel,Cash,256.1,20.79,276.89,2024-09-19,United Kingdom,ADMN
Christopher York,Car,Card,1745.79,133.66,1879.45,2024-12-10,United Kingdom,SALS
Ronald Freeman,Air,Cash,802.91,54.35,857.26,2023-05-24,United States,FINC
Brian Rodriguez,Hotel,Card,1902.94,58.05,1960.99,2024-05-26,United Kingdom,FINC
Dr. Brittney Lee MD,Car,Cash,1943.94,59.13,2003.07,2024-07-18,Germany,SALS
Christopher Alvarez,Hotel,Cash,704.25,22.83,727.08,2024-06-23,United States,SALS
David Brown,Meals,Card,652.37,21.8,674.17,2024-02-01,Germany,SALS
Jason Huff,Hotel,Cash,1622.95,100.46,1723.41,2023-08-20,United Kingdom,EXEC
Scott Edwards,Meals,Card,643.88,28.98,672.86,2023-03-21,United States,FINC
Tanya Bond,Hotel,Card,1422.42,50.77,1473.19,2024-02-17,Germany,ADMN
Sarah Peterson,Meals,Cash,1882.56,40.21,1922.77,2024-12-28,Germany,ADMN
Gregory Rojas,Meals,Card,139.21,12.32,151.53,2024-09-07,India,ADMN
Amanda Ramos,Car,Cash,415.77,20.05,435.82,2024-01-07,Canada,FINC
Robert Williams,Air,Cash,956.41,26.89,983.3,2023-10-24,United States,ENGG
David Jensen,Hotel,Cash,1483.67,69.52,1553.19,2024-02-27,Germany,FINC
Michele Ray,Hotel,Card,218.57,18.2,236.77,2023-12-07,Germany,FINC
Yolanda Tanner,Air,Cash,622.2,31.15,653.35,2024-08-24,United Kingdom,FINC
Devon Johnson,Air,Card,431.21,27.21,458.42,2024-06-12,India,SALS
Rachel Jordan,Car,Card,1181.62,109.82,1291.44,2024-03-26,Canada,EXEC
Michael Levy,Car,Card,75.98,1.57,77.55,2024-06-30,Germany,FINC
Mrs. Crystal Rodriguez MD,Air,Card,1155.41,83.16,1238.57,2023-05-08,India,SALS
Dustin Gonzalez,Meals,Card,1874.65,130.14,2004.79,2024-12-07,United States,EXEC
Jenna Rose,Car,Card,1225.8,104.36,1330.16,2024-03-11,India,EXEC
Johnathan Thompson,Hotel,Cash,1034.93,74.1,1109.03,2023-03-23,Germany,ADMN
Andrew Brown,Hotel,Card,383.2,20.05,403.25,2023-08-02,Canada,ENGG
Jennifer Jones,Meals,Card,60.27,1.27,61.54,2024-11-03,United States,SALS
Richard Ramos,Meals,Cash,1590.85,89.18,1680.03,2023-04-14,Germany,EXEC
Cassandra Greene,Air,Card,892.62,78.45,971.07,2023-07-14,Canada,SALS
Jennifer Campos,Hotel,Card,414.17,20.03,434.2,2023-05-23,India,EXEC
Lauren Phillips,Car,Card,715.74,44.12,759.86,2023-11-27,United States,ADMN
Emma Jones,Meals,Cash,1672.39,78.67,1751.06,2024-12-05,India,EXEC
Barbara Frazier,Meals,Cash,308.03,26.01,334.04,2023-09-26,Canada,ADMN
Amy Mathews,Hotel,Card,1754.44,58.78,1813.22,2024-06-15,Canada,ENGG
Amanda Jacobs,Air,Cash,410.15,24.67,434.82,2024-02-22,United Kingdom,ENGG
Amy Black DVM,Air,Cash,1287.06,40.51,1327.57,2023-07-29,Australia,EXEC
Gina Cobb,Meals,Cash,126.53,10.57,137.1,2023-07-04,United States,ENGG
Nathan Barnes,Meals,Cash,1037.1,21.31,1058.41,2024-01-15,United Kingdom,SALS
Holly Walker,Car,Cash,1017.25,90.6,1107.85,2024-12-13,Germany,FINC
Alice Butler,Hotel,Cash,77.59,3.66,81.25,2023-07-28,Canada,ENGG
Alexis Mcdonald,Meals,Card,1694.25,63.95,1758.2,2023-04-28,Australia,FINC
Lori Anderson,Hotel,Card,100.59,5.79,106.38,2024-03-20,Canada,EXEC
Brenda Brown,Car,Cash,1145.21,106.78,1251.99,2024-04-03,India,ADMN
Yvonne Daniels,Car,Cash,178.83,14.15,192.98,2023-06-03,Germany,EXEC
Sarah Moses,Hotel,Card,131.31,9.66,140.97,2024-07-02,India,ENGG
Jacob Taylor,Meals,Cash,1883.73,137.03,2020.76,2023-10-28,Australia,ADMN
Samantha Patel,Car,Cash,1916.61,189.7,2106.31,2024-11-07,Germany,ENGG
Amy Davis,Car,Card,1592.41,116.49,1708.9,2024-04-06,United Kingdom,FINC
Deanna Glass,Meals,Card,1231.87,121.13,1353.0,2024-09-24,Canada,ADMN
Michael Lewis,Meals,Cash,1544.36,98.23,1642.59,2024-01-11,Germany,ENGG
Rebecca Greene,Car,Cash,1931.72,77.22,2008.94,2024-04-15,United Kingdom,SALS
Tina Thompson,Hotel,Cash,1650.86,139.69,1790.55,2024-02-29,Canada,ENGG
Lisa Ferguson,Hotel,Cash,1126.23,93.35,1219.58,2024-11-03,United States,ENGG
Danielle Green,Air,Card,1687.71,158.47,1846.18,2024-04-06,United Kingdom,ADMN
Robert Beard,Hotel,Cash,234.5,13.62,248.12,2024-07-23,Canada,FINC
Brian Andrade,Hotel,Card,1863.14,57.75,1920.89,2023-01-03,India,SALS
Shawn Johnson,Air,Card,1364.79,60.05,1424.84,2024-04-26,India,FINC
Tammy Reyes,Hotel,Cash,1137.43,40.74,1178.17,2024-11-16,India,EXEC
Brian Kemp,Hotel,Card,1237.68,29.36,1267.04,2024-09-13,United Kingdom,ENGG
Michelle Walker,Air,Cash,651.42,21.84,673.26,2023-11-02,United States,ENGG
Robert Mullen,Car,Card,1402.32,84.55,1486.87,2024-05-21,United Kingdom,FINC
Sherri Rosario,Meals,Cash,1901.81,138.71,2040.52,2024-10-05,India,EXEC
Brandi Shaw,Hotel,Card,1877.67,175.03,2052.7,2023-09-25,United States,ENGG
Christine Nelson,Car,Cash,1981.46,125.33,2106.79,2023-11-30,United Kingdom,SALS
David Stokes,Air,Cash,1787.27,57.83,1845.1,2023-03-28,Canada,EXEC
Daniel Washington,Meals,Card,239.8,16.57,256.37,2023-11-10,Australia,SALS
Kimberly Wilson,Car,Card,1111.6,107.13,1218.73,2024-12-22,Canada,FINC
Melissa Michael,Air,Cash,1308.53,61.38,1369.91,2023-11-13,United Kingdom,ADMN
Traci Olson,Car,Card,1652.94,65.07,1718.01,2023-07-02,Canada,FINC
Emily Middleton,Meals,Cash,1044.22,22.18,1066.4,2024-09-02,Germany,ADMN
Austin Wilkerson,Car,Cash,490.78,26.69,517.47,2024-10-11,Germany,ENGG
Samantha Alvarez,Hotel,Cash,743.34,59.77,803.11,2024-12-18,Australia,ADMN
Veronica Gonzalez,Air,Cash,794.53,53.45,847.98,2023-01-05,Canada,ADMN
Nancy Campbell,Meals,Card,54.71,2.57,57.28,2024-07-20,Canada,FINC
Christine Pearson,Hotel,Cash,574.32,43.87,618.19,2023-02-05,United States,ADMN
Sarah Lucas,Hotel,Card,300.87,6.87,307.74,2024-08-21,United States,EXEC
Heather Lee,Hotel,Cash,1114.36,79.78,1194.14,2023-01-16,Australia,EXEC
Kevin English,Hotel,Cash,1094.64,67.0,1161.64,2024-01-30,Australia,SALS
Lisa Harris,Hotel,Card,318.45,16.95,335.4,2023-07-11,Australia,EXEC
Janice Carpenter,Car,Card,1197.38,66.15,1263.53,2024-10-30,Germany,EXEC
Jessica Wheeler,Car,Card,857.52,22.99,880.51,2024-08-27,United States,SALS
Gerald Brennan,Air,Card,534.01,51.61,585.62,2023-04-25,United Kingdom,ADMN
Susan Wright,Air,Cash,1757.76,69.12,1826.88,2023-07-23,Australia,FINC
Jessica Newton,Air,Card,1385.91,72.32,1458.23,2024-02-01,Canada,ENGG
Elizabeth Ramirez,Hotel,Card,413.52,25.74,439.26,2024-05-07,Australia,ADMN
Nicholas Delgado,Air,Card,773.94,22.81,796.75,2024-04-05,India,ADMN
Sean Munoz,Air,Card,427.18,22.61,449.79,2023-11-20,Germany,SALS
Pamela Porter,Car,Card,953.75,58.67,1012.42,2023-10-31,Germany,FINC
Nicole Rios,Air,Card,685.03,26.79,711.82,2023-03-28,Canada,SALS
Hannah Alvarez,Hotel,Card,1839.05,92.93,1931.98,2023-04-21,Germany,ADMN
David Garrett,Meals,Cash,79.04,5.76,84.8,2023-03-21,United Kingdom,SALS
Christian Ellis,Air,Card,1388.66,95.72,1484.38,2024-05-18,Canada,ENGG
Christian Smith,Hotel,Card,166.17,3.68,169.85,2024-02-02,Germany,SALS
Tina Gonzales,Meals,Card,1440.98,115.31,1556.29,2024-10-07,India,FINC
Andrew Bradford,Hotel,Cash,719.23,61.29,780.52,2024-05-18,United Kingdom,ADMN
Derek Watts,Air,Cash,91.66,5.9,97.56,2023-03-15,Canada,FINC
Victoria Walker,Air,Cash,437.86,24.33,462.19,2024-12-20,United Kingdom,ENGG
Jonathan Gay,Air,Cash,1574.27,48.82,1623.09,2023-11-08,United States,ADMN
Mark Jackson,Hotel,Cash,564.88,17.54,582.42,2023-03-09,United Kingdom,ENGG
Tina Henry,Meals,Cash,1171.61,108.49,1280.1,2024-08-30,India,FINC
Mary Anderson,Hotel,Card,1853.0,145.5,1998.5,2023-04-19,Canada,EXEC
Edward Todd,Air,Cash,1636.49,61.06,1697.55,2023-12-09,United Kingdom,ADMN
Angel Kim,Hotel,Card,202.69,18.9,221.59,2024-11-02,United States,FINC
Stephanie Jenkins,Air,Card,744.85,26.22,771.07,2024-07-14,India,SALS
Joseph Mcdaniel,Meals,Card,813.58,50.84,864.42,2023-12-29,United Kingdom,ADMN
Jennifer George,Car,Cash,1780.32,59.02,1839.34,2024-02-14,Germany,ENGG
Lori Walker,Meals,Cash,1262.75,107.59,1370.34,2024-07-05,Canada,ENGG
Kevin Brown,Hotel,Cash,1956.28,70.97,2027.25,2023-07-13,United Kingdom,FINC
Jennifer Garza,Hotel,Cash,1171.22,61.68,1232.9,2023-04-23,Canada,SALS
Gregory Hughes,Hotel,Card,926.75,84.66,1011.41,2023-11-21,Canada,ENGG
Arthur Hoffman,Car,Card,194.32,5.54,199.86,2024-05-04,Germany,FINC
Dana Thompson,Meals,Cash,1754.57,127.07,1881.64,2023-02-15,India,FINC
Brent Underwood,Hotel,Cash,801.96,48.01,849.97,2024-08-10,Australia,EXEC
Kenneth Crawford,Air,Cash,1909.23,114.77,2024.0,2023-11-10,Canada,FINC
Austin Lewis,Meals,Cash,278.22,18.37,296.59,2024-06-25,Australia,SALS
Frank Manning,Meals,Card,1480.25,48.26,1528.51,2023-11-15,Germany,ADMN
Zachary Green,Air,Cash,457.99,35.16,493.15,2023-08-10,India,FINC
Victor Evans,Air,Card,1373.03,90.97,1464.0,2024-01-21,Germany,ENGG
Margaret Edwards,Hotel,Card,1868.49,182.63,2051.12,2024-08-08,India,FINC
Charles Johnson,Car,Card,82.26,4.19,86.45,2023-07-03,Germany,ADMN
Michelle Martinez,Meals,Cash,1057.09,62.94,1120.03,2023-06-13,Canada,EXEC
Lee Hobbs,Air,Card,706.35,56.94,763.29,2023-11-10,Germany,SALS
Andrea Farrell,Car,Card,672.77,47.78,720.55,2024-06-03,United Kingdom,EXEC
Susan Franklin,Car,Cash,462.81,13.61,476.42,2023-07-30,United Kingdom,FINC
Jennifer Roach,Hotel,Cash,1999.86,159.24,2159.1,2023-01-08,Australia,ENGG
Mrs. Stacey Brooks,Hotel,Card,137.76,6.33,144.09,2024-04-06,Canada,EXEC
Stephanie Goodwin,Car,Card,1939.83,111.8,2051.63,2023-02-09,India,ADMN
Jessica Navarro,Hotel,Cash,1911.33,115.39,2026.72,2023-02-04,Australia,ENGG
Alisha Hill,Hotel,Card,713.44,64.37,777.81,2023-07-10,Germany,FINC
John Scott,Hotel,Cash,1412.76,54.0,1466.76,2023-05-08,United States,ENGG
William Dodson,Air,Card,1358.92,79.77,1438.69,2023-09-07,Canada,ADMN
Sonya Carlson,Meals,Card,1645.33,36.35,1681.68,2024-10-13,United Kingdom,ENGG
Sandra Woods,Car,Card,606.76,49.37,656.13,2024-01-25,India,SALS
Jordan Love,Car,Cash,834.33,49.72,884.05,2024-05-16,United Kingdom,FINC
Stacey Jimenez,Meals,Card,1091.71,36.02,1127.73,2024-07-31,Australia,SALS
Christina Blankenship,Air,Card,1577.13,54.78,1631.91,2024-11-10,Australia,EXEC
Ashley Willis,Car,Cash,1845.93,92.68,1938.61,2023-07-06,India,ENGG
Lindsey Reid,Car,Cash,408.0,23.23,431.23,2023-06-04,Canada,EXEC
Victor Gutierrez,Hotel,Cash,1465.65,118.11,1583.76,2023-11-28,United States,ADMN
Jimmy Rodriguez,Air,Cash,1098.5,35.11,1133.61,2023-01-31,Australia,FINC
Robert Price,Air,Cash,1895.91,186.91,2082.82,2024-09-04,India,EXEC
Lisa Welch,Hotel,Cash,929.68,23.95,953.63,2024-01-31,United States,SALS
Susan Clay,Hotel,Card,1668.25,137.93,1806.18,2023-03-24,Canada,FINC
Rebecca Jensen,Car,Cash,187.97,13.44,201.41,2024-08-17,United States,ADMN
Sara Garcia,Meals,Card,304.24,9.44,313.68,2024-06-16,Canada,SALS
Christopher Pace,Car,Cash,1404.9,83.91,1488.81,2023-10-02,United States,ADMN
Mark Ortega,Air,Cash,1546.04,99.32,1645.36,2023-09-15,Australia,ENGG
Lori Harris,Meals,Card,959.96,75.22,1035.18,2024-01-09,Canada,ENGG
John Scott,Hotel,Card,1757.59,37.1,1794.69,2023-11-07,Australia,FINC
Craig Robinson,Meals,Card,1409.62,124.11,1533.73,2023-06-07,Australia,EXEC
Robert Brooks,Meals,Cash,1588.46,60.73,1649.19,2023-10-27,Australia,ADMN
Roger Schwartz,Car,Cash,590.05,19.66,609.71,2023-08-31,United States,EXEC
Richard Long,Meals,Cash,1263.78,34.83,1298.61,2024-03-18,Germany,EXEC
Frederick Henderson,Air,Card,797.15,54.32,851.47,2023-06-06,United States,ENGG
Timothy Jones,Car,Cash,1747.61,145.49,1893.1,2024-05-04,United States,EXEC
Beth Sullivan,Air,Card,1348.77,69.22,1417.99,2023-08-17,Canada,EXEC
Joseph Castaneda,Hotel,Card,436.87,27.27,464.14,2023-06-21,United States,FINC
Stephanie Collins,Meals,Card,216.91,6.27,223.18,2023-05-17,United Kingdom,ADMN
Michael Smith,Air,Card,1997.55,179.23,2176.78,2024-11-25,Canada,FINC
James Franklin,Air,Cash,1396.79,99.76,1496.55,2023-07-20,Australia,ADMN
Nicholas Wilson,Car,Card,1353.16,86.75,1439.91,2023-05-27,India,FINC
Jacob Wright,Hotel,Card,1974.57,76.88,2051.45,2024-06-09,United Kingdom,ADMN
Alan Abbott,Meals,Cash,1184.07,109.8,1293.87,2023-11-22,Australia,EXEC
Patricia Sellers,Meals,Card,705.23,59.03,764.26,2024-01-22,Australia,SALS
Wendy Barnes,Hotel,Card,920.36,33.76,954.12,2024-04-05,India,ADMN
Samuel Wade,Meals,Cash,1584.85,69.83,1654.68,2024-03-06,Germany,ADMN
Brittany Poole,Hotel,Cash,602.54,43.37,645.91,2024-03-15,Australia,ADMN
David Carter,Air,Card,1156.73,36.33,1193.06,2024-04-06,United Kingdom,FINC
Morgan Montgomery,Hotel,Card,1914.44,134.39,2048.83,2023-11-15,Germany,EXEC
Cheryl Myers,Meals,Cash,1184.0,42.92,1226.92,2023-02-09,United Kingdom,ADMN
Cathy Rodriguez,Car,Card,1657.8,141.43,1799.23,2023-10-30,Canada,ENGG
James Patterson,Hotel,Cash,1515.47,53.39,1568.86,2024-11-01,Australia,ENGG
Ian Brown,Car,Cash,1766.58,133.19,1899.77,2023-05-05,Germany,ENGG
Andrea Miller,Hotel,Card,352.42,22.43,374.85,2024-07-15,Australia,FINC
Tyrone Middleton,Car,Card,398.92,16.1,415.02,2023-02-23,United Kingdom,FINC
Amanda Elliott,Car,Cash,1298.23,51.89,1350.12,2024-01-28,Germany,EXEC
Douglas Diaz,Car,Cash,1724.51,102.03,1826.54,2024-09-21,Australia,FINC
William Ortiz,Hotel,Card,1861.7,75.43,1937.13,2023-10-06,United Kingdom,FINC
Paula Wilson,Hotel,Card,1829.07,134.87,1963.94,2024-01-27,Canada,FINC
Brandy Stanley,Meals,Card,1957.49,160.09,2117.58,2023-01-14,Australia,EXEC
Stephen Livingston,Hotel,Cash,1115.12,87.87,1202.99,2023-12-15,United States,EXEC
Daniel Shelton,Hotel,Cash,699.97,54.08,754.05,2023-05-18,India,FINC
Zachary Webb,Air,Card,1460.52,144.61,1605.13,2023-03-28,Australia,FINC
Kimberly Knapp,Meals,Card,1824.24,58.57,1882.81,2023-09-15,United Kingdom,FINC
Jennifer Harris,Hotel,Card,67.15,1.99,69.14,2024-06-23,Germany,EXEC
Shelly Miller,Car,Cash,642.17,15.8,657.97,2024-11-22,United States,ADMN
Stephanie Pollard,Car,Cash,611.0,54.05,665.05,2024-09-19,United States,FINC
John Gutierrez,Hotel,Card,1663.12,51.76,1714.88,2023-08-05,Germany,SALS
Samantha Schneider,Car,Cash,1784.12,52.22,1836.34,2024-04-02,Australia,ENGG
Brian Lee,Air,Card,627.56,12.62,640.18,2023-01-25,India,SALS
Austin Alexander,Meals,Card,1617.17,34.22,1651.39,2023-01-13,Germany,EXEC
Jennifer Moreno,Car,Cash,223.64,19.15,242.79,2024-10-20,India,ENGG
Matthew Johnson,Car,Cash,859.37,71.09,930.46,2024-03-05,United States,ENGG
Matthew Roman,Meals,Card,1775.59,117.97,1893.56,2024-08-08,Australia,ENGG
Robert Smith,Car,Card,845.13,68.11,913.24,2024-02-22,Australia,EXEC
Todd Campos,Air,Card,793.47,68.91,862.38,2023-09-02,Germany,EXEC
Kenneth Payne,Hotel,Card,717.49,30.1,747.59,2024-09-11,India,SALS
Louis Moore,Meals,Cash,443.63,44.08,487.71,2024-05-03,Canada,SALS
Helen Flores,Meals,Card,314.9,21.87,336.77,2024-03-20,Australia,SALS
Julie Novak,Air,Cash,1723.47,91.47,1814.94,2023-08-08,United States,ADMN
Daniel Ramos,Meals,Card,1481.28,129.55,1610.83,2023-06-07,United States,SALS
Michael Webb,Meals,Cash,1202.05,37.46,1239.51,2024-11-11,Germany,FINC
Gary Smith,Hotel,Cash,1398.96,128.69,1527.65,2023-09-07,India,EXEC
Nathan Lynn,Air,Card,1069.35,97.65,1167.0,2023-12-16,Australia,SALS
Matthew Branch,Hotel,Cash,1635.85,32.99,1668.84,2024-10-31,Germany,FINC
Mark Medina,Hotel,Card,594.43,31.18,625.61,2023-04-25,Canada,EXEC
James Castillo,Car,Card,127.67,4.45,132.12,2024-12-23,Canada,SALS
Holly Terry,Car,Cash,906.51,56.87,963.38,2023-10-19,Australia,SALS
Faith Jenkins,Air,Cash,404.05,38.14,442.19,2024-05-04,United States,EXEC
Charles Avila,Car,Card,773.35,62.86,836.21,2024-10-05,United Kingdom,FINC
Brandon Johnson,Air,Card,881.62,41.6,923.22,2023-09-07,United Kingdom,FINC
Steven Peters,Air,Card,1789.87,172.34,1962.21,2023-10-14,United Kingdom,EXEC
Ann Ball,Car,Card,86.42,6.05,92.47,2024-07-29,United States,EXEC
Sarah Collins,Car,Card,695.86,37.4,733.26,2023-09-10,United Kingdom,ADMN
John Vargas,Hotel,Cash,1831.13,86.87,1918.0,2023-09-07,United States,FINC
Ann Perez,Hotel,Cash,833.9,81.89,915.79,2023-10-30,Australia,ADMN
Taylor Pruitt,Meals,Card,437.48,20.68,458.16,2023-09-07,United States,EXEC
Tammy Mitchell,Hotel,Card,528.3,23.4,551.7,2023-01-18,India,SALS
William Sims,Hotel,Card,184.87,9.33,194.2,2024-07-01,Germany,SALS
Amanda Duke,Meals,Card,508.65,41.18,549.83,2023-11-30,United Kingdom,ADMN
Kari Aguilar,Air,Card,263.42,17.91,281.33,2024-10-30,India,FINC
Nancy Thompson,Hotel,Cash,1602.26,40.49,1642.75,2023-09-12,India,EXEC
Amy Manning,Car,Cash,862.2,82.41,944.61,2023-02-26,Canada,SALS
Steven Brown,Hotel,Cash,531.42,32.63,564.05,2024-02-05,Australia,EXEC
Earl Beasley,Car,Card,1913.61,108.82,2022.43,2024-10-09,Australia,ADMN
Mr. Jeffrey Fernandez,Air,Cash,1784.66,40.35,1825.01,2023-01-04,Canada,FINC
Fernando Jackson,Hotel,Card,433.81,21.92,455.73,2024-08-20,Canada,ENGG
Kylie Simpson DDS,Meals,Cash,1090.49,97.85,1188.34,2023-09-24,United Kingdom,ADMN
Ebony Bishop,Hotel,Cash,880.4,39.09,919.49,2024-02-05,United Kingdom,ADMN
Melissa Martinez,Car,Cash,1561.74,151.3,1713.04,2023-06-25,Germany,EXEC
Brenda Rivera,Car,Cash,1136.73,79.08,1215.81,2023-10-19,United States,SALS
Ashley Turner,Hotel,Card,1055.63,48.75,1104.38,2024-01-25,India,EXEC
Zachary Patterson,Meals,Card,124.5,12.03,136.53,2023-04-03,Germany,EXEC
Jeffrey Jacobs,Hotel,Cash,1156.83,77.5,1234.33,2023-06-09,Germany,FINC
Claudia Rodriguez,Meals,Cash,1971.84,153.46,2125.3,2024-03-20,India,FINC
Ashley Jordan,Car,Card,1178.1,57.2,1235.3,2023-02-22,United Kingdom,SALS
Nicole Ramos,Air,Cash,1968.93,157.28,2126.21,2023-10-17,United Kingdom,FINC
Emma Morrison,Hotel,Cash,1865.63,106.27,1971.9,2024-08-13,United States,SALS
Robert Gonzales,Air,Card,220.25,16.2,236.45,2023-11-04,United Kingdom,SALS
Christopher French,Car,Card,658.48,46.34,704.82,2024-09-14,India,ENGG
James Stevens,Air,Card,787.74,25.17,812.91,2023-06-06,United Kingdom,FINC
Paul Weber,Car,Card,481.35,33.04,514.39,2024-01-08,Canada,ADMN
Christopher Olson,Air,Cash,1272.4,120.56,1392.96,2024-08-17,India,FINC
Lindsey Wright,Meals,Card,1317.97,72.73,1390.7,2024-05-19,Germany,ADMN
Brian Grant,Car,Card,1330.68,53.44,1384.12,2024-06-15,United Kingdom,FINC
Michelle Perez,Hotel,Cash,1443.72,120.75,1564.47,2024-11-12,Australia,FINC
